plot,subsample,trt,block,season,amapo_viable_seeds,amapo_total_seeds,amapo_p_viable,setfa_viable_seeds ,setfa_total_seeds,setfa_p_viable,setfa_recovered_seeds,setfa_buried_seeds,setfa_p_recovered,amapo_recovered_seeds,amapo_buried_seeds,amapo_p_recovered,amapo_viability,setfa_viability,amapo_mortality,setfa_mortality,cc_shoot_biomass_g,trit_biomass_g,can_biomass_g,clov_biomass_g,pea_biomass_g,sand,silt,clay,ph,p_ppm,k_ppm,mg_ppm,ca_ppm,cec,f22_gwc_9_29,s23_gwc_3_20,s23_gwc_4_14,s23_gwc_5_9,f23_gwc_6_6,f23_gwc_6_20,f23_gwc_7_6,f23_gwc_7_17,f22_n_mg_kg,s23_n_mg_kg_3_20,s23_n_mg_kg_4_14,s23_n_mg_kg_5_9,f23_n_mg_kg_6_6,f23_n_mg_kg_6_20,f23_n_mg_kg_7_6,f23_n_mg_kg_7_17
111,a,4spp,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,207.8475,28.97125,72.40625,74.375,32.095,16.58133123,49.23198109,34.18668767,6.62,31,122,145,1296.8,10.2,0.184149184,NA,NA,NA,NA,NA,NA,NA,2.168831908,NA,NA,NA,NA,NA,NA,NA
111,b,4spp,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,207.8475,28.97125,72.40625,74.375,32.095,16.58133123,49.23198109,34.18668767,6.62,31,122,145,1296.8,10.2,0.184149184,NA,NA,NA,NA,NA,NA,NA,2.168831908,NA,NA,NA,NA,NA,NA,NA
112,a,Canola,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,196.02625,0,196.02625,0,0,19.58557482,47.8182905,32.59613469,6.52,37,157,132,938.7,8.2,0.183079974,NA,NA,NA,NA,NA,NA,NA,1.054229727,NA,NA,NA,NA,NA,NA,NA
112,b,Canola,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,196.02625,0,196.02625,0,0,19.58557482,47.8182905,32.59613469,6.52,37,157,132,938.7,8.2,0.183079974,NA,NA,NA,NA,NA,NA,NA,1.054229727,NA,NA,NA,NA,NA,NA,NA
602,a,Pea,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,197.1375,0,0,0,197.1375,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,0.168861348,NA,NA,NA,NA,NA,NA,NA,6.862046684,NA,NA,NA,NA,NA,NA,NA
602,b,Pea,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,197.1375,0,0,0,197.1375,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,0.168861348,NA,NA,NA,NA,NA,NA,NA,6.862046684,NA,NA,NA,NA,NA,NA,NA
602,c,Pea,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,197.1375,0,0,0,197.1375,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,0.168861348,NA,NA,NA,NA,NA,NA,NA,6.862046684,NA,NA,NA,NA,NA,NA,NA
602,d,Pea,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,197.1375,0,0,0,197.1375,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,0.168861348,NA,NA,NA,NA,NA,NA,NA,6.862046684,NA,NA,NA,NA,NA,NA,NA
603,a,Canola,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,255.26375,0,255.26375,0,0,41.42033165,36.04902668,22.53064167,6.73,36,143,116,1005.2,8.6,0.164513936,NA,NA,NA,NA,NA,NA,NA,3.521756468,NA,NA,NA,NA,NA,NA,NA
603,b,Canola,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,255.26375,0,255.26375,0,0,41.42033165,36.04902668,22.53064167,6.73,36,143,116,1005.2,8.6,0.164513936,NA,NA,NA,NA,NA,NA,NA,3.521756468,NA,NA,NA,NA,NA,NA,NA
605,a,3sppN,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,289.17,61.8975,0,179.76,47.5125,42.11846421,35.69361374,22.18792205,6.48,54,177,129,1111.6,9.9,0.172071476,NA,NA,NA,NA,NA,NA,NA,5.382977239,NA,NA,NA,NA,NA,NA,NA
605,b,3sppN,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,289.17,61.8975,0,179.76,47.5125,42.11846421,35.69361374,22.18792205,6.48,54,177,129,1111.6,9.9,0.172071476,NA,NA,NA,NA,NA,NA,NA,5.382977239,NA,NA,NA,NA,NA,NA,NA
607,a,Fallow,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,46.2575728,33.22259136,20.51983584,6.63,65,158,108,921.6,8.7,0.173214286,NA,NA,NA,NA,NA,NA,NA,4.581547948,NA,NA,NA,NA,NA,NA,NA
607,b,Fallow,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,46.2575728,33.22259136,20.51983584,6.63,65,158,108,921.6,8.7,0.173214286,NA,NA,NA,NA,NA,NA,NA,4.581547948,NA,NA,NA,NA,NA,NA,NA
608,a,Clover,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,384.1775,0,0,384.1775,0,37.99143636,34.76060724,27.2479564,6.38,50,133,109,891.6,7.9,0.160537482,NA,NA,NA,NA,NA,NA,NA,4.673503508,NA,NA,NA,NA,NA,NA,NA
608,b,Clover,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,384.1775,0,0,384.1775,0,37.99143636,34.76060724,27.2479564,6.38,50,133,109,891.6,7.9,0.160537482,NA,NA,NA,NA,NA,NA,NA,4.673503508,NA,NA,NA,NA,NA,NA,NA
610,a,Triticale,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,155.26,155.26,0,0,0,40.50558495,35.97883598,23.51557907,6.44,47,149,117,925.1,8,0.164157706,NA,NA,NA,NA,NA,NA,NA,4.156302129,NA,NA,NA,NA,NA,NA,NA
610,b,Triticale,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,155.26,155.26,0,0,0,40.50558495,35.97883598,23.51557907,6.44,47,149,117,925.1,8,0.164157706,NA,NA,NA,NA,NA,NA,NA,4.156302129,NA,NA,NA,NA,NA,NA,NA
612,a,4spp,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,314.53625,32.76875,99.225,101.6575,80.885,42.98181818,32.47272727,24.54545455,6.44,52,128,111,859.5,7.6,0.16133829,NA,NA,NA,NA,NA,NA,NA,5.083312184,NA,NA,NA,NA,NA,NA,NA
612,b,4spp,2,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,314.53625,32.76875,99.225,101.6575,80.885,42.98181818,32.47272727,24.54545455,6.44,52,128,111,859.5,7.6,0.16133829,NA,NA,NA,NA,NA,NA,NA,5.083312184,NA,NA,NA,NA,NA,NA,NA
701,a,Clover,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,238.02625,0,0,238.02625,0,39.6691035,37.24509427,23.08580223,6.58,35,139,110,950.3,8.2,0.160947712,NA,NA,NA,NA,NA,NA,NA,6.007675313,NA,NA,NA,NA,NA,NA,NA
701,b,Clover,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,238.02625,0,0,238.02625,0,39.6691035,37.24509427,23.08580223,6.58,35,139,110,950.3,8.2,0.160947712,NA,NA,NA,NA,NA,NA,NA,6.007675313,NA,NA,NA,NA,NA,NA,NA
704,a,3sppN,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,197.54875,35.49875,0,106.575,55.475,35.48028873,39.53359245,24.98611882,6.44,38,145,113,1080.2,8.7,0.171353251,NA,NA,NA,NA,NA,NA,NA,6.680517622,NA,NA,NA,NA,NA,NA,NA
704,b,3sppN,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,197.54875,35.49875,0,106.575,55.475,35.48028873,39.53359245,24.98611882,6.44,38,145,113,1080.2,8.7,0.171353251,NA,NA,NA,NA,NA,NA,NA,6.680517622,NA,NA,NA,NA,NA,NA,NA
707,a,Canola,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,162.785,0,162.785,0,0,39.61334344,35.74677786,24.6398787,6.53,64,133,114,971.9,9,0.178191489,NA,NA,NA,NA,NA,NA,NA,3.51142585,NA,NA,NA,NA,NA,NA,NA
707,b,Canola,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,162.785,0,162.785,0,0,39.61334344,35.74677786,24.6398787,6.53,64,133,114,971.9,9,0.178191489,NA,NA,NA,NA,NA,NA,NA,3.51142585,NA,NA,NA,NA,NA,NA,NA
708,a,Pea,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,207.92625,0,0,0,207.92625,35.7396671,37.1423228,27.1180101,6.3,62,156,115,1067.4,9.5,0.187362234,NA,NA,NA,NA,NA,NA,NA,10.22265546,NA,NA,NA,NA,NA,NA,NA
708,b,Pea,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,207.92625,0,0,0,207.92625,35.7396671,37.1423228,27.1180101,6.3,62,156,115,1067.4,9.5,0.187362234,NA,NA,NA,NA,NA,NA,NA,10.22265546,NA,NA,NA,NA,NA,NA,NA
709,a,Fallow,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,37.16504854,35.65048544,27.18446602,6.61,41,157,119,1050.5,8.8,0.170181818,NA,NA,NA,NA,NA,NA,NA,8.06803083,NA,NA,NA,NA,NA,NA,NA
709,b,Fallow,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,37.16504854,35.65048544,27.18446602,6.61,41,157,119,1050.5,8.8,0.170181818,NA,NA,NA,NA,NA,NA,NA,8.06803083,NA,NA,NA,NA,NA,NA,NA
710,a,Triticale,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,132.88625,132.88625,0,0,0,43.29594478,34.27092321,22.43313201,6.58,35,120,113,1007.6,8.3,0.168674699,NA,NA,NA,NA,NA,NA,NA,2.064117953,NA,NA,NA,NA,NA,NA,NA
710,b,Triticale,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,132.88625,132.88625,0,0,0,43.29594478,34.27092321,22.43313201,6.58,35,120,113,1007.6,8.3,0.168674699,NA,NA,NA,NA,NA,NA,NA,2.064117953,NA,NA,NA,NA,NA,NA,NA
712,a,4spp,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,267.96875,25.31375,141.4,76.545,24.71,38.5773727,36.93283138,24.48979592,6.49,70,124,112,978.4,8.3,0.177857143,NA,NA,NA,NA,NA,NA,NA,6.937717103,NA,NA,NA,NA,NA,NA,NA
712,b,4spp,3,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,267.96875,25.31375,141.4,76.545,24.71,38.5773727,36.93283138,24.48979592,6.49,70,124,112,978.4,8.3,0.177857143,NA,NA,NA,NA,NA,NA,NA,6.937717103,NA,NA,NA,NA,NA,NA,NA
1101,a,3sppN,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,297.2375,42.035,0,174.86875,80.33375,46.38331059,30.49327354,23.12341587,6.6,33,157,115,986.1,9.1,0.167505392,NA,NA,NA,NA,NA,NA,NA,7.189111275,NA,NA,NA,NA,NA,NA,NA
1101,b,3sppN,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,297.2375,42.035,0,174.86875,80.33375,46.38331059,30.49327354,23.12341587,6.6,33,157,115,986.1,9.1,0.167505392,NA,NA,NA,NA,NA,NA,NA,7.189111275,NA,NA,NA,NA,NA,NA,NA
1103,a,Canola,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,223.16875,0,223.16875,0,0,45.50920707,30.32694476,24.16384818,6.59,32,156,127,958.6,8.5,0.161128527,NA,NA,NA,NA,NA,NA,NA,2.675619736,NA,NA,NA,NA,NA,NA,NA
1103,b,Canola,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,223.16875,0,223.16875,0,0,45.50920707,30.32694476,24.16384818,6.59,32,156,127,958.6,8.5,0.161128527,NA,NA,NA,NA,NA,NA,NA,2.675619736,NA,NA,NA,NA,NA,NA,NA
1104,a,4spp,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,290.9725,48.0725,110.4425,95.515,36.9425,45.56611243,32.93745051,21.49643705,6.39,45,139,111,894.7,8,0.176954733,NA,NA,NA,NA,NA,NA,NA,4.898658579,NA,NA,NA,NA,NA,NA,NA
1104,b,4spp,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,290.9725,48.0725,110.4425,95.515,36.9425,45.56611243,32.93745051,21.49643705,6.39,45,139,111,894.7,8,0.176954733,NA,NA,NA,NA,NA,NA,NA,4.898658579,NA,NA,NA,NA,NA,NA,NA
1107,a,Clover,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,241.00125,0,0,241.00125,0,43.13647247,32.20271349,24.66081405,6.45,50,155,119,923,9.4,0.178217822,NA,NA,NA,NA,NA,NA,NA,9.47442444,NA,NA,NA,NA,NA,NA,NA
1107,b,Clover,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,241.00125,0,0,241.00125,0,43.13647247,32.20271349,24.66081405,6.45,50,155,119,923,9.4,0.178217822,NA,NA,NA,NA,NA,NA,NA,9.47442444,NA,NA,NA,NA,NA,NA,NA
1108,a,Pea,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,214.94375,0,0,0,214.94375,37.40063593,38.03656598,24.56279809,6.25,56,166,111,996,9.1,0.196244131,NA,NA,NA,NA,NA,NA,NA,11.08197608,NA,NA,NA,NA,NA,NA,NA
1108,b,Pea,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,214.94375,0,0,0,214.94375,37.40063593,38.03656598,24.56279809,6.25,56,166,111,996,9.1,0.196244131,NA,NA,NA,NA,NA,NA,NA,11.08197608,NA,NA,NA,NA,NA,NA,NA
1109,a,Triticale,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,178.815,178.815,0,0,0,35.24606495,38.13508667,26.61884838,6.44,53,147,133,1240,10.5,0.20993228,NA,NA,NA,NA,NA,NA,NA,9.167070757,NA,NA,NA,NA,NA,NA,NA
1109,b,Triticale,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,178.815,178.815,0,0,0,35.24606495,38.13508667,26.61884838,6.44,53,147,133,1240,10.5,0.20993228,NA,NA,NA,NA,NA,NA,NA,9.167070757,NA,NA,NA,NA,NA,NA,NA
1112,a,Fallow,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,30.63263041,43.72918979,25.6381798,6.48,58,144,128,1160.6,9.4,0.192642788,NA,NA,NA,NA,NA,NA,NA,11.27184051,NA,NA,NA,NA,NA,NA,NA
1112,b,Fallow,4,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,30.63263041,43.72918979,25.6381798,6.48,58,144,128,1160.6,9.4,0.192642788,NA,NA,NA,NA,NA,NA,NA,11.27184051,NA,NA,NA,NA,NA,NA,NA
101,a,Fallow,1,S23,27,100,0.270,42,100,0.420,138,200,0.69,200,200,1,0.270,0.290,0.730,0.710,0,0,0,0,0,26.925304,44.39297433,28.68172168,6.76,36,152,136,1145.9,9.5,NA,0.195441595,0.15942029,0.222545455,NA,NA,NA,NA,NA,4.472116,6.911984,6.386784,NA,NA,NA,NA
101,b,Fallow,1,S23,14,100,0.140,62,100,0.620,136,200,0.68,185,200,0.925,0.130,0.422,0.871,0.578,0,0,0,0,0,26.925304,44.39297433,28.68172168,6.76,36,152,136,1145.9,9.5,NA,0.195441595,0.15942029,0.222545455,NA,NA,NA,NA,NA,4.472116,6.911984,6.386784,NA,NA,NA,NA
102,a,Clover,1,S23,68,100,0.680,45,93,0.484,117,200,0.585,195,200,0.975,0.663,0.283,0.337,0.717,241.65,0,0,241.65,0,26.58522397,43.63001745,29.78475858,6.46,38,138,141,1308.6,10.1,NA,0.233224756,0.172311349,0.224016854,NA,NA,NA,NA,NA,7.256591,22.57803,7.697219,NA,NA,NA,NA
102,b,Clover,1,S23,6,90,0.067,32,58,0.552,82,200,0.41,192,200,0.96,0.064,0.226,0.936,0.774,241.65,0,0,241.65,0,26.58522397,43.63001745,29.78475858,6.46,38,138,141,1308.6,10.1,NA,0.233224756,0.172311349,0.224016854,NA,NA,NA,NA,NA,7.256591,22.57803,7.697219,NA,NA,NA,NA
105,a,3sppN,1,S23,52,100,0.520,60,100,0.600,163,200,0.815,196,200,0.98,0.510,0.489,0.490,0.511,830.18,553.64,0,276.54,0,21.27197314,47.40272566,31.3253012,6.59,38,125,135,1139,9.3,NA,0.260983607,0.184752747,0.243226601,NA,NA,NA,NA,NA,5.35605,8.620318,11.43699,NA,NA,NA,NA
105,b,3sppN,1,S23,53,100,0.530,51,100,0.510,136,200,0.68,168,200,0.84,0.445,0.347,0.555,0.653,830.18,553.64,0,276.54,0,21.27197314,47.40272566,31.3253012,6.59,38,125,135,1139,9.3,NA,0.260983607,0.184752747,0.243226601,NA,NA,NA,NA,NA,5.35605,8.620318,11.43699,NA,NA,NA,NA
106,a,Pea,1,S23,45,100,0.450,66,100,0.660,179,200,0.895,199,200,0.995,0.448,0.591,0.552,0.409,0,0,0,0,0,25.80044676,42.81459419,31.38495905,6.41,41,168,125,1060.8,8.8,NA,0.237731734,0.185517241,0.251295337,NA,NA,NA,NA,NA,7.468423,10.04926,8.39466,NA,NA,NA,NA
106,b,Pea,1,S23,14,100,0.140,66,100,0.660,150,200,0.75,177,200,0.885,0.124,0.495,0.876,0.505,0,0,0,0,0,25.80044676,42.81459419,31.38495905,6.41,41,168,125,1060.8,8.8,NA,0.237731734,0.185517241,0.251295337,NA,NA,NA,NA,NA,7.468423,10.04926,8.39466,NA,NA,NA,NA
109,a,Triticale,1,S23,34,100,0.340,73,100,0.730,162,200,0.81,193,200,0.965,0.328,0.591,0.672,0.409,566.56,566.56,0,0,0,18.86417792,48.649722,32.48610008,6.42,51,180,142,1294.1,10.9,NA,0.263518138,0.212634823,0.264026403,NA,NA,NA,NA,NA,3.196451,9.083088,8.615035,NA,NA,NA,NA
109,b,Triticale,1,S23,16,100,0.160,72,100,0.720,165,200,0.825,197,200,0.985,0.158,0.594,0.842,0.406,566.56,566.56,0,0,0,18.86417792,48.649722,32.48610008,6.42,51,180,142,1294.1,10.9,NA,0.263518138,0.212634823,0.264026403,NA,NA,NA,NA,NA,3.196451,9.083088,8.615035,NA,NA,NA,NA
111,a,4spp,1,S23,12,100,0.120,83,100,0.830,160,200,0.8,183,200,0.915,0.110,0.664,0.890,0.336,382.06,73.42,285.16,23.48,0,16.58133123,49.23198109,34.18668767,6.62,31,122,145,1296.8,10.2,NA,0.236624379,0.176155392,0.252258065,NA,NA,NA,NA,NA,5.101837,8.55424,6.416538,NA,NA,NA,NA
111,b,4spp,1,S23,5,100,0.050,73,100,0.730,161,200,0.805,191,200,0.955,0.048,0.588,0.952,0.412,382.06,73.42,285.16,23.48,0,16.58133123,49.23198109,34.18668767,6.62,31,122,145,1296.8,10.2,NA,0.236624379,0.176155392,0.252258065,NA,NA,NA,NA,NA,5.101837,8.55424,6.416538,NA,NA,NA,NA
112,a,Canola,1,S23,23,100,0.230,65,100,0.650,177,200,0.885,189,200,0.945,0.217,0.575,0.783,0.425,515.51,0,515.51,0,0,19.58557482,47.8182905,32.59613469,6.52,37,157,132,938.7,8.2,NA,0.239880952,0.162958115,0.231270358,NA,NA,NA,NA,NA,3.240552,12.32658,9.293035,NA,NA,NA,NA
112,b,Canola,1,S23,48,100,0.480,89,100,0.890,170,200,0.85,180,200,0.9,0.432,0.757,0.568,0.244,515.51,0,515.51,0,0,19.58557482,47.8182905,32.59613469,6.52,37,157,132,938.7,8.2,NA,0.239880952,0.162958115,0.231270358,NA,NA,NA,NA,NA,3.240552,12.32658,9.293035,NA,NA,NA,NA
602,a,Pea,2,S23,NA,NA,NA,59,100,0.590,139,200,0.695,NA,200,NA,NA,0.410,NA,0.590,4.06,0,0,0,4.06,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,NA,0.216965742,0.165054414,0.230668414,NA,NA,NA,NA,NA,5.97154,9.821625,9.045706,NA,NA,NA,NA
602,b,Pea,2,S23,NA,NA,NA,75,100,0.750,168,200,0.84,NA,200,NA,NA,0.630,NA,0.370,4.06,0,0,0,4.06,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,NA,0.216965742,0.165054414,0.230668414,NA,NA,NA,NA,NA,5.97154,9.821625,9.045706,NA,NA,NA,NA
602,c,Pea,2,S23,NA,NA,NA,53,100,0.530,158,200,0.79,NA,200,NA,NA,0.419,NA,0.581,4.06,0,0,0,4.06,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,NA,0.216965742,0.165054414,0.230668414,NA,NA,NA,NA,NA,5.97154,9.821625,9.045706,NA,NA,NA,NA
602,d,Pea,2,S23,NA,NA,NA,52,100,0.520,164,200,0.82,NA,200,NA,NA,0.426,NA,0.574,4.06,0,0,0,4.06,37.08920188,40.37558685,22.53521127,6.62,42,136,114,1183.3,9.2,NA,0.216965742,0.165054414,0.230668414,NA,NA,NA,NA,NA,5.97154,9.821625,9.045706,NA,NA,NA,NA
